fiscal_year,base_year,state,constant_prices,current_prices,unit
2018-19,2011-12,Tamil Nadu,108017170.00,149004174.00,"constant_prices, current_prices in rupees lakh"
2018-19,2011-12,Telangana,54542139.00,77694557.00,"constant_prices, current_prices in rupees lakh"
2018-19,2011-12,Tripura,3519768.00,4791262.00,"constant_prices, current_prices in rupees lakh"
2018-19,2011-12,Uttar Pradesh,106468381.00,148239993.00,"constant_prices, current_prices in rupees lakh"
2018-19,2011-12,Uttarakhand,17093191.00,21336358.00,"constant_prices, current_prices in rupees lakh"
2018-19,2011-12,West Bengal,72093732.00,102668290.00,"constant_prices, current_prices in rupees lakh"
2017-18,2011-12,Andaman and Nicobar Islands,619310.00,755921.00,"constant_prices, current_prices in rupees lakh"
2017-18,2011-12,Andhra Pradesh,53786892.00,72527188.00,"constant_prices, current_prices in rupees lakh"
2017-18,2011-12,Arunachal Pradesh,1482225.00,2157736.00,"constant_prices, current_prices in rupees lakh"
2017-18,2011-12,Assam,20680674.00,26270579.00,"constant_prices, current_prices in rupees lakh"
2017-18,2011-12,Bihar,33482650.00,45841506.00,"constant_prices, current_prices in rupees lakh"
2017-18,2011-12,Chandigarh,2723937.00,3408417.00,"constant_prices, current_prices in rupees lakh"
2017-18,2011-12,Chhattisgarh,20010414.00,25973833.00,"constant_prices, current_prices in rupees lakh"
2017-18,2011-12,Delhi,46333293.00,58689972.00,"constant_prices, current_prices in rupees lakh"
2017-18,2011-12,Goa,4826333.00,6145532.00,"constant_prices, current_prices in rupees lakh"
2017-18,2011-12,Gujarat,95051750.00,117283889.00,"constant_prices, current_prices in rupees lakh"
2017-18,2011-12,Haryana,42445828.00,54524020.00,"constant_prices, current_prices in rupees lakh"
2017-18,2011-12,Himachal Pradesh,10412975.00,12659911.00,"constant_prices, current_prices in rupees lakh"
2017-18,2011-12,Jammu and Kashmir,9845143.00,12955569.00,"constant_prices, current_prices in rupees lakh"
2017-18,2011-12,Jharkhand,18746696.00,24239281.00,"constant_prices, current_prices in rupees lakh"
2017-18,2011-12,Karnataka,89977017.00,119917182.00,"constant_prices, current_prices in rupees lakh"
2017-18,2011-12,Kerala,46075400.00,63488389.00,"constant_prices, current_prices in rupees lakh"
