fiscal_year,state,region,gender,unemployment_rate,unit,note
2025,Uttarakhand,Rural+Urban,Person,5.9,unemployment_rate in percentage,
2025,Uttar Pradesh,Rural,Male,2.9,unemployment_rate in percentage,
2025,Uttar Pradesh,Rural,Female,1.9,unemployment_rate in percentage,
2025,Uttar Pradesh,Rural,Person,2.6,unemployment_rate in percentage,
2025,Uttar Pradesh,Urban,Male,4,unemployment_rate in percentage,
2025,Uttar Pradesh,Urban,Female,7.8,unemployment_rate in percentage,
2025,Uttar Pradesh,Urban,Person,4.6,unemployment_rate in percentage,
2025,Uttar Pradesh,Rural+Urban,Male,3.2,unemployment_rate in percentage,
2025,Uttar Pradesh,Rural+Urban,Female,2.6,unemployment_rate in percentage,
2025,Uttar Pradesh,Rural+Urban,Person,3,unemployment_rate in percentage,
2025,West Bengal,Rural,Male,2.9,unemployment_rate in percentage,
2025,West Bengal,Rural,Female,3.9,unemployment_rate in percentage,
2025,West Bengal,Rural,Person,3.2,unemployment_rate in percentage,
2025,West Bengal,Urban,Male,4.1,unemployment_rate in percentage,
2025,West Bengal,Urban,Female,7.6,unemployment_rate in percentage,
2025,West Bengal,Urban,Person,4.9,unemployment_rate in percentage,
2025,West Bengal,Rural+Urban,Male,3.3,unemployment_rate in percentage,
2025,West Bengal,Rural+Urban,Female,4.9,unemployment_rate in percentage,
2025,West Bengal,Rural+Urban,Person,3.7,unemployment_rate in percentage,
2025,Andaman and Nicobar Islands,Rural,Male,8,unemployment_rate in percentage,
2025,Andaman and Nicobar Islands,Rural,Female,15,unemployment_rate in percentage,
2025,Andaman and Nicobar Islands,Rural,Person,10.7,unemployment_rate in percentage,
2025,Andaman and Nicobar Islands,Urban,Male,6.6,unemployment_rate in percentage,
2025,Andaman and Nicobar Islands,Urban,Female,25.4,unemployment_rate in percentage,
2025,Andaman and Nicobar Islands,Urban,Person,12.9,unemployment_rate in percentage,
2025,Andaman and Nicobar Islands,Rural+Urban,Male,7.4,unemployment_rate in percentage,
2025,Andaman and Nicobar Islands,Rural+Urban,Female,19.2,unemployment_rate in percentage,
2025,Andaman and Nicobar Islands,Rural+Urban,Person,11.6,unemployment_rate in percentage,
2025,Chandigarh,Urban,Male,2.6,unemployment_rate in percentage,
2025,Chandigarh,Urban,Female,15.3,unemployment_rate in percentage,
2025,Chandigarh,Urban,Person,6.3,unemployment_rate in percentage,
2025,Chandigarh,Rural+Urban,Male,2.6,unemployment_rate in percentage,
2025,Chandigarh,Rural+Urban,Female,15.3,unemployment_rate in percentage,
2025,Chandigarh,Rural+Urban,Person,6.3,unemployment_rate in percentage,
2025,Dadra and Nagar Haveli and Daman and Diu,Rural,Male,2.1,unemployment_rate in percentage,
2025,Dadra and Nagar Haveli and Daman and Diu,Rural,Female,1.4,unemployment_rate in percentage,
2025,Dadra and Nagar Haveli and Daman and Diu,Rural,Person,2,unemployment_rate in percentage,
2025,Dadra and Nagar Haveli and Daman and Diu,Urban,Male,2.6,unemployment_rate in percentage,
2025,Dadra and Nagar Haveli and Daman and Diu,Urban,Female,1.3,unemployment_rate in percentage,
2025,Dadra and Nagar Haveli and Daman and Diu,Urban,Person,2.4,unemployment_rate in percentage,
2025,Dadra and Nagar Haveli and Daman and Diu,Rural+Urban,Male,2.5,unemployment_rate in percentage,
2025,Dadra and Nagar Haveli and Daman and Diu,Rural+Urban,Female,1.3,unemployment_rate in percentage,
2025,Dadra and Nagar Haveli and Daman and Diu,Rural+Urban,Person,2.3,unemployment_rate in percentage,
2025,Jammu and Kashmir,Rural,Male,4.6,unemployment_rate in percentage,
2025,Jammu and Kashmir,Rural,Female,11,unemployment_rate in percentage,
2025,Jammu and Kashmir,Rural,Person,6.3,unemployment_rate in percentage,
2025,Jammu and Kashmir,Urban,Male,6.4,unemployment_rate in percentage,
2025,Jammu and Kashmir,Urban,Female,28.6,unemployment_rate in percentage,
2025,Jammu and Kashmir,Urban,Person,11.7,unemployment_rate in percentage,
2025,Jammu and Kashmir,Rural+Urban,Male,5,unemployment_rate in percentage,
2025,Jammu and Kashmir,Rural+Urban,Female,14.4,unemployment_rate in percentage,
2025,Jammu and Kashmir,Rural+Urban,Person,7.5,unemployment_rate in percentage,
2025,Ladakh,Rural,Male,5.1,unemployment_rate in percentage,
2025,Ladakh,Rural,Female,18.6,unemployment_rate in percentage,
2025,Ladakh,Rural,Person,8.4,unemployment_rate in percentage,
2025,Ladakh,Urban,Male,5.8,unemployment_rate in percentage,
2025,Ladakh,Urban,Female,17.4,unemployment_rate in percentage,
2025,Ladakh,Urban,Person,8.4,unemployment_rate in percentage,
2025,Ladakh,Rural+Urban,Male,5.2,unemployment_rate in percentage,
2025,Ladakh,Rural+Urban,Female,18.4,unemployment_rate in percentage,
2025,Ladakh,Rural+Urban,Person,8.4,unemployment_rate in percentage,
2025,Lakshadweep,Rural,Male,5.1,unemployment_rate in percentage,
2025,Lakshadweep,Rural,Female,14.6,unemployment_rate in percentage,
2025,Lakshadweep,Rural,Person,7.1,unemployment_rate in percentage,
2025,Lakshadweep,Urban,Male,6.1,unemployment_rate in percentage,
2025,Lakshadweep,Urban,Female,13.2,unemployment_rate in percentage,
2025,Lakshadweep,Urban,Person,7.7,unemployment_rate in percentage,
2025,Lakshadweep,Rural+Urban,Male,5.9,unemployment_rate in percentage,
2025,Lakshadweep,Rural+Urban,Female,13.5,unemployment_rate in percentage,
2025,Lakshadweep,Rural+Urban,Person,7.5,unemployment_rate in percentage,
2025,Puducherry,Rural,Male,4.6,unemployment_rate in percentage,
2025,Puducherry,Rural,Female,7.3,unemployment_rate in percentage,
2025,Puducherry,Rural,Person,5.7,unemployment_rate in percentage,
2025,Puducherry,Urban,Male,3.9,unemployment_rate in percentage,
2025,Puducherry,Urban,Female,8.6,unemployment_rate in percentage,
2025,Puducherry,Urban,Person,5.2,unemployment_rate in percentage,
2025,Puducherry,Rural+Urban,Male,4.2,unemployment_rate in percentage,
2025,Puducherry,Rural+Urban,Female,8,unemployment_rate in percentage,
2025,Puducherry,Rural+Urban,Person,5.4,unemployment_rate in percentage,
2025,all India,Rural,Male,3.1,unemployment_rate in percentage,
2025,all India,Rural,Female,2.9,unemployment_rate in percentage,
2025,all India,Rural,Person,3,unemployment_rate in percentage,
2025,all India,Urban,Male,4.4,unemployment_rate in percentage,
2025,all India,Urban,Female,7.4,unemployment_rate in percentage,
2025,all India,Urban,Person,5.2,unemployment_rate in percentage,
2025,all India,Rural+Urban,Male,3.5,unemployment_rate in percentage,
2025,all India,Rural+Urban,Female,4,unemployment_rate in percentage,
2025,all India,Rural+Urban,Person,3.7,unemployment_rate in percentage,
2023-24,Andhra Pradesh,rural,male,4.8,unemployment_rate in percentage,
2023-24,Andhra Pradesh,rural,female,3,unemployment_rate in percentage,
2023-24,Andhra Pradesh,rural,person,4.1,unemployment_rate in percentage,
2023-24,Andhra Pradesh,urban,male,5.7,unemployment_rate in percentage,
2023-24,Andhra Pradesh,urban,female,7,unemployment_rate in percentage,
2023-24,Andhra Pradesh,urban,person,6.1,unemployment_rate in percentage,
2023-24,Andhra Pradesh,rural+urban,male,5.1,unemployment_rate in percentage,
2023-24,Andhra Pradesh,rural+urban,female,3.8,unemployment_rate in percentage,
2023-24,Andhra Pradesh,rural+urban,person,4.6,unemployment_rate in percentage,
2023-24,Arunachal Pradesh,rural,male,6.7,unemployment_rate in percentage,
2023-24,Arunachal Pradesh,rural,female,6.2,unemployment_rate in percentage,
2023-24,Arunachal Pradesh,rural,person,6.5,unemployment_rate in percentage,
2023-24,Arunachal Pradesh,urban,male,9.8,unemployment_rate in percentage,
2023-24,Arunachal Pradesh,urban,female,19.1,unemployment_rate in percentage,
2023-24,Arunachal Pradesh,urban,person,13.4,unemployment_rate in percentage,
2023-24,Arunachal Pradesh,rural+urban,male,7.2,unemployment_rate in percentage,
2023-24,Arunachal Pradesh,rural+urban,female,7.8,unemployment_rate in percentage,
2023-24,Arunachal Pradesh,rural+urban,person,7.5,unemployment_rate in percentage,
2023-24,Assam,rural,male,4.7,unemployment_rate in percentage,
2023-24,Assam,rural,female,9.6,unemployment_rate in percentage,
2023-24,Assam,rural,person,6.1,unemployment_rate in percentage,
2023-24,Assam,urban,male,7,unemployment_rate in percentage,
2023-24,Assam,urban,female,17.2,unemployment_rate in percentage,
2023-24,Assam,urban,person,9.5,unemployment_rate in percentage,
2023-24,Assam,rural+urban,male,4.9,unemployment_rate in percentage,
2023-24,Assam,rural+urban,female,10.3,unemployment_rate in percentage,
2023-24,Assam,rural+urban,person,6.5,unemployment_rate in percentage,
2023-24,Bihar,rural,male,3.7,unemployment_rate in percentage,
2023-24,Bihar,rural,female,1.9,unemployment_rate in percentage,
2023-24,Bihar,rural,person,3.4,unemployment_rate in percentage,
2023-24,Bihar,urban,male,7.8,unemployment_rate in percentage,
2023-24,Bihar,urban,female,13.8,unemployment_rate in percentage,
2023-24,Bihar,urban,person,8.7,unemployment_rate in percentage,
2023-24,Bihar,rural+urban,male,4.1,unemployment_rate in percentage,
2023-24,Bihar,rural+urban,female,2.9,unemployment_rate in percentage,
2023-24,Bihar,rural+urban,person,3.9,unemployment_rate in percentage,
2023-24,Chhattisgarh,rural,male,2,unemployment_rate in percentage,
2023-24,Chhattisgarh,rural,female,1.8,unemployment_rate in percentage,
2023-24,Chhattisgarh,rural,person,1.9,unemployment_rate in percentage,
2023-24,Chhattisgarh,urban,male,6.9,unemployment_rate in percentage,
2023-24,Chhattisgarh,urban,female,12.3,unemployment_rate in percentage,
2023-24,Chhattisgarh,urban,person,8.4,unemployment_rate in percentage,
2023-24,Chhattisgarh,rural+urban,male,2.9,unemployment_rate in percentage,
2023-24,Chhattisgarh,rural+urban,female,3,unemployment_rate in percentage,
2023-24,Chhattisgarh,rural+urban,person,3,unemployment_rate in percentage,
2023-24,Delhi,rural,male,3.6,unemployment_rate in percentage,
2023-24,Delhi,rural,female,19.5,unemployment_rate in percentage,
2023-24,Delhi,rural,person,6,unemployment_rate in percentage,
2023-24,Delhi,urban,male,2.2,unemployment_rate in percentage,
2023-24,Delhi,urban,female,1.1,unemployment_rate in percentage,
2023-24,Delhi,urban,person,2,unemployment_rate in percentage,
2023-24,Delhi,rural+urban,male,2.3,unemployment_rate in percentage,
2023-24,Delhi,rural+urban,female,1.5,unemployment_rate in percentage,
2023-24,Delhi,rural+urban,person,2.1,unemployment_rate in percentage,
2023-24,Goa,rural,male,8,unemployment_rate in percentage,
2023-24,Goa,rural,female,14.1,unemployment_rate in percentage,
2023-24,Goa,rural,person,9.5,unemployment_rate in percentage,
2023-24,Goa,urban,male,3.8,unemployment_rate in percentage,
2023-24,Goa,urban,female,18.6,unemployment_rate in percentage,
2023-24,Goa,urban,person,8.2,unemployment_rate in percentage,
2023-24,Goa,rural+urban,male,5.6,unemployment_rate in percentage,
2023-24,Goa,rural+urban,female,16.8,unemployment_rate in percentage,
2023-24,Goa,rural+urban,person,8.7,unemployment_rate in percentage,
