fiscal_year,state,category,percentage,unit
2022-23,Chhattisgarh,Fuel and Light,16.10,
2022-23,Dadra and Nagar Haveli,Fuel and Light,12.20,
2022-23,Daman and Diu,Fuel and Light,9.80,
2022-23,Delhi,Fuel and Light,17.50,
2022-23,Goa,Fuel and Light,10.20,
2022-23,Gujarat,Fuel and Light,3.80,
2022-23,Haryana,Fuel and Light,7.10,
2022-23,Himachal Pradesh,Fuel and Light,1.30,
2022-23,Jammu and Kashmir,Fuel and Light,8.20,
2022-23,Jharkhand,Fuel and Light,12.10,
2022-23,Karnataka,Fuel and Light,5.40,
2022-23,Kerala,Fuel and Light,9.90,
2022-23,Lakshadweep,Fuel and Light,9.30,
2022-23,Madhya Pradesh,Fuel and Light,15.20,
2022-23,Maharashtra,Fuel and Light,14.60,
2022-23,Manipur,Fuel and Light,5.50,
2022-23,Meghalaya,Fuel and Light,9.30,
2022-23,Mizoram,Fuel and Light,19.40,
2022-23,Nagaland,Fuel and Light,12.40,
2022-23,Odisha,Fuel and Light,10.00,
2022-23,Puducherry,Fuel and Light,20.80,
2022-23,Punjab,Fuel and Light,17.60,
2022-23,Rajasthan,Fuel and Light,-13.70,
2022-23,Sikkim,Fuel and Light,24.20,
2022-23,Tamil Nadu,Fuel and Light,16.50,
2022-23,Telangana,Fuel and Light,19.00,
2022-23,Tripura,Fuel and Light,19.80,
2022-23,Uttar Pradesh,Fuel and Light,7.20,
2022-23,Uttarakhand,Fuel and Light,10.10,
2022-23,West Bengal,Fuel and Light,16.30,
2022-23,ALL INDIA,Fuel and Light,10.40,
2022-23,Andaman and Nicobar Islands,Housing (Urban),4.20,
2022-23,Andhra Pradesh,Housing (Urban),5.40,
2022-23,Assam,Housing (Urban),5.40,
2022-23,Bihar,Housing (Urban),4.80,
2022-23,Chandigarh,Housing (Urban),3.90,
2022-23,Chhattisgarh,Housing (Urban),0.70,
2022-23,Dadra and Nagar Haveli,Housing (Urban),2.30,
2022-23,Daman and Diu,Housing (Urban),3.00,
2022-23,Delhi,Housing (Urban),0.70,
2022-23,Goa,Housing (Urban),2.90,
2022-23,Gujarat,Housing (Urban),2.90,
2022-23,Haryana,Housing (Urban),4.10,
2022-23,Himachal Pradesh,Housing (Urban),3.80,
2022-23,Jammu and Kashmir,Housing (Urban),4.70,
2022-23,Jharkhand,Housing (Urban),3.00,
2022-23,Karnataka,Housing (Urban),3.50,
2022-23,Kerala,Housing (Urban),4.40,
2022-23,Lakshadweep,Housing (Urban),9.10,
2022-23,Madhya Pradesh,Housing (Urban),3.80,
2022-23,Maharashtra,Housing (Urban),6.60,
2022-23,Manipur,Housing (Urban),2.10,
2022-23,Meghalaya,Housing (Urban),3.50,
2022-23,Mizoram,Housing (Urban),4.10,
2022-23,Nagaland,Housing (Urban),4.10,
2022-23,Odisha,Housing (Urban),2.50,
2022-23,Puducherry,Housing (Urban),3.10,
2022-23,Punjab,Housing (Urban),5.50,
2022-23,Rajasthan,Housing (Urban),4.60,
2022-23,Sikkim,Housing (Urban),10.60,
2022-23,Tamil Nadu,Housing (Urban),3.70,
2022-23,Telangana,Housing (Urban),6.20,
2022-23,Tripura,Housing (Urban),4.40,
2022-23,Uttar Pradesh,Housing (Urban),3.90,
2022-23,Uttarakhand,Housing (Urban),3.40,
2022-23,West Bengal,Housing (Urban),5.00,
2022-23,ALL INDIA,Housing (Urban),4.30,
2021-22,Andaman and Nicobar Islands,General,6.00,
2021-22,Andhra Pradesh,General,5.80,
2021-22,Assam,General,4.00,
2021-22,Bihar,General,4.70,
2021-22,Chandigarh,General,5.30,
2021-22,Chhattisgarh,General,4.80,
2021-22,Dadra and Nagar Haveli,General,7.70,
2021-22,Daman and Diu,General,6.30,
2021-22,Delhi,General,6.00,
2021-22,Goa,General,4.60,
2021-22,Gujarat,General,5.50,
2021-22,Haryana,General,6.20,
2021-22,Himachal Pradesh,General,6.70,
2021-22,Jammu and Kashmir,General,7.20,
2021-22,Jharkhand,General,4.50,
2021-22,Karnataka,General,6.10,
2021-22,Kerala,General,4.20,
2021-22,Lakshadweep,General,2.60,
2021-22,Madhya Pradesh,General,6.50,
2021-22,Maharashtra,General,5.90,
2021-22,Manipur,General,1.80,
2021-22,Meghalaya,General,3.30,
2021-22,Mizoram,General,6.20,
2021-22,Nagaland,General,6.30,
2021-22,Odisha,General,3.70,
2021-22,Puducherry,General,5.70,
