fiscal_year,year,month,state,category,tax_type,amount,unit,notes
2025-26,2026,March,Maharashtra,GST collected from State,Total Tax Collection,32872.15,amount in rupees crores,
2025-26,2026,March,Manipur,GST collected from State,Total Tax Collection,81.48,amount in rupees crores,
2025-26,2026,March,Meghalaya,GST collected from State,Total Tax Collection,187.79000000000002,amount in rupees crores,
2025-26,2026,March,Mizoram,GST collected from State,Total Tax Collection,65.06,amount in rupees crores,
2025-26,2026,March,Nagaland,GST collected from State,Total Tax Collection,87.31,amount in rupees crores,
2025-26,2026,March,OIDAR,GST collected from State,Total Tax Collection,397.71,amount in rupees crores,"state: State (CBIC) represents the Tax Payersof OIDAR (Online Information Database Access and Retrieval services) such as NETFLEX, AMAZON PRIME, ETC"
2025-26,2026,March,Odisha,GST collected from State,Total Tax Collection,5050.08,amount in rupees crores,
2025-26,2026,March,Other Territory,GST collected from State,Total Tax Collection,268.91,amount in rupees crores,state: Represents territories other than States/UTs
2025-26,2026,March,Puducherry,GST collected from State,Total Tax Collection,211.76,amount in rupees crores,
2025-26,2026,March,Punjab,GST collected from State,Total Tax Collection,2351.04,amount in rupees crores,
2025-26,2026,March,Rajasthan,GST collected from State,Total Tax Collection,4987.55,amount in rupees crores,
2025-26,2026,March,Sikkim,GST collected from State,Total Tax Collection,192.85999999999999,amount in rupees crores,
2025-26,2026,March,Tamil Nadu,GST collected from State,Total Tax Collection,10967.94,amount in rupees crores,
2025-26,2026,March,Telangana,GST collected from State,Total Tax Collection,5821.42,amount in rupees crores,
2025-26,2026,March,Tripura,GST collected from State,Total Tax Collection,197.32,amount in rupees crores,
2025-26,2026,March,Uttar Pradesh,GST collected from State,Total Tax Collection,9331.24,amount in rupees crores,
2025-26,2026,March,Uttarakhand,GST collected from State,Total Tax Collection,1466.24,amount in rupees crores,
2025-26,2026,March,West Bengal,GST collected from State,Total Tax Collection,5674.92,amount in rupees crores,
2025-26,2026,February,Jammu and Kashmir,GST collected from State,CGST,192.27,amount in rupees crores,
2025-26,2026,February,Himachal Pradesh,GST collected from State,CGST,156.98,amount in rupees crores,
2025-26,2026,February,Punjab,GST collected from State,CGST,585.03,amount in rupees crores,
2025-26,2026,February,Chandigarh,GST collected from State,CGST,53.27,amount in rupees crores,
2025-26,2026,February,Uttarakhand,GST collected from State,CGST,292.32,amount in rupees crores,
2025-26,2026,February,Haryana,GST collected from State,CGST,1543.16,amount in rupees crores,
2025-26,2026,February,Delhi,GST collected from State,CGST,1319.49,amount in rupees crores,
2025-26,2026,February,Rajasthan,GST collected from State,CGST,1214.1,amount in rupees crores,
2025-26,2026,February,Uttar Pradesh,GST collected from State,CGST,2265.37,amount in rupees crores,
2025-26,2026,February,Bihar,GST collected from State,CGST,395.36,amount in rupees crores,
2025-26,2026,February,Sikkim,GST collected from State,CGST,38.44,amount in rupees crores,
2025-26,2026,February,Arunachal Pradesh,GST collected from State,CGST,47.15,amount in rupees crores,
2025-26,2026,February,Nagaland,GST collected from State,CGST,23.87,amount in rupees crores,
2025-26,2026,February,Manipur,GST collected from State,CGST,20.13,amount in rupees crores,
2025-26,2026,February,Mizoram,GST collected from State,CGST,12.04,amount in rupees crores,
2025-26,2026,February,Tripura,GST collected from State,CGST,42.27,amount in rupees crores,
2025-26,2026,February,Meghalaya,GST collected from State,CGST,61.89,amount in rupees crores,
2025-26,2026,February,Assam,GST collected from State,CGST,421.15,amount in rupees crores,
2025-26,2026,February,West Bengal,GST collected from State,CGST,1787.67,amount in rupees crores,
2025-26,2026,February,Jharkhand,GST collected from State,CGST,603.82,amount in rupees crores,
2025-26,2026,February,Odisha,GST collected from State,CGST,1336.57,amount in rupees crores,
2025-26,2026,February,Chhattisgarh,GST collected from State,CGST,763.83,amount in rupees crores,
2025-26,2026,February,Madhya Pradesh,GST collected from State,CGST,978.65,amount in rupees crores,
2025-26,2026,February,Gujarat,GST collected from State,CGST,3730.13,amount in rupees crores,
2025-26,2026,February,Daman and Diu,GST collected from State,CGST,0.0,amount in rupees crores,
2025-26,2026,February,Dadra and Nagar Haveli,GST collected from State,CGST,51.06,amount in rupees crores,
2025-26,2026,February,Maharashtra,GST collected from State,CGST,8967.14,amount in rupees crores,
2025-26,2026,February,Karnataka,GST collected from State,CGST,3492.03,amount in rupees crores,
2025-26,2026,February,Goa,GST collected from State,CGST,205.5,amount in rupees crores,
2025-26,2026,February,Lakshadweep,GST collected from State,CGST,0.43,amount in rupees crores,
2025-26,2026,February,Kerala,GST collected from State,CGST,1220.64,amount in rupees crores,
2025-26,2026,February,Tamil Nadu,GST collected from State,CGST,2960.59,amount in rupees crores,
2025-26,2026,February,Puducherry,GST collected from State,CGST,32.91,amount in rupees crores,
2025-26,2026,February,Andaman and Nicobar Islands,GST collected from State,CGST,21.39,amount in rupees crores,
2025-26,2026,February,Telangana,GST collected from State,CGST,1609.18,amount in rupees crores,
2025-26,2026,February,Andhra Pradesh,GST collected from State,CGST,983.06,amount in rupees crores,
2025-26,2026,February,Ladakh,GST collected from State,CGST,10.12,amount in rupees crores,
2025-26,2026,February,Other Territory,GST collected from State,CGST,33.47,amount in rupees crores,state: Represents territories other than States/UTs
2025-26,2026,February,OIDAR,GST collected from State,CGST,0.0,amount in rupees crores,"state: State (CBIC) represents the Tax Payersof OIDAR (Online Information Database Access and Retrieval services) such as NETFLEX, AMAZON PRIME, ETC"
2025-26,2026,February,Jammu and Kashmir,GST collected from State,SGST,236.32,amount in rupees crores,
2025-26,2026,February,Himachal Pradesh,GST collected from State,SGST,204.33,amount in rupees crores,
2025-26,2026,February,Punjab,GST collected from State,SGST,828.97,amount in rupees crores,
2025-26,2026,February,Chandigarh,GST collected from State,SGST,67.18,amount in rupees crores,
2025-26,2026,February,Uttarakhand,GST collected from State,SGST,428.0,amount in rupees crores,
2025-26,2026,February,Haryana,GST collected from State,SGST,1950.54,amount in rupees crores,
2025-26,2026,February,Delhi,GST collected from State,SGST,1506.19,amount in rupees crores,
2025-26,2026,February,Rajasthan,GST collected from State,SGST,1595.49,amount in rupees crores,
2025-26,2026,February,Uttar Pradesh,GST collected from State,SGST,2862.76,amount in rupees crores,
2025-26,2026,February,Bihar,GST collected from State,SGST,986.05,amount in rupees crores,
2025-26,2026,February,Sikkim,GST collected from State,SGST,45.34,amount in rupees crores,
2025-26,2026,February,Arunachal Pradesh,GST collected from State,SGST,56.74,amount in rupees crores,
2025-26,2026,February,Nagaland,GST collected from State,SGST,30.02,amount in rupees crores,
2025-26,2026,February,Manipur,GST collected from State,SGST,28.7,amount in rupees crores,
2025-26,2026,February,Mizoram,GST collected from State,SGST,16.79,amount in rupees crores,
2025-26,2026,February,Tripura,GST collected from State,SGST,55.7,amount in rupees crores,
2025-26,2026,February,Meghalaya,GST collected from State,SGST,71.85,amount in rupees crores,
2025-26,2026,February,Assam,GST collected from State,SGST,559.41,amount in rupees crores,
2025-26,2026,February,West Bengal,GST collected from State,SGST,2045.43,amount in rupees crores,
2025-26,2026,February,Jharkhand,GST collected from State,SGST,774.57,amount in rupees crores,
2025-26,2026,February,Odisha,GST collected from State,SGST,1749.19,amount in rupees crores,
2025-26,2026,February,Chhattisgarh,GST collected from State,SGST,895.24,amount in rupees crores,
2025-26,2026,February,Madhya Pradesh,GST collected from State,SGST,1181.72,amount in rupees crores,
2025-26,2026,February,Gujarat,GST collected from State,SGST,4276.12,amount in rupees crores,
2025-26,2026,February,Daman and Diu,GST collected from State,SGST,0.0,amount in rupees crores,
2025-26,2026,February,Dadra and Nagar Haveli,GST collected from State,SGST,73.01,amount in rupees crores,
2025-26,2026,February,Maharashtra,GST collected from State,SGST,10286.34,amount in rupees crores,
2025-26,2026,February,Karnataka,GST collected from State,SGST,4353.21,amount in rupees crores,
2025-26,2026,February,Goa,GST collected from State,SGST,251.56,amount in rupees crores,
2025-26,2026,February,Lakshadweep,GST collected from State,SGST,0.44,amount in rupees crores,
2025-26,2026,February,Kerala,GST collected from State,SGST,1437.55,amount in rupees crores,
2025-26,2026,February,Tamil Nadu,GST collected from State,SGST,3713.25,amount in rupees crores,
2025-26,2026,February,Puducherry,GST collected from State,SGST,45.09,amount in rupees crores,
2025-26,2026,February,Andaman and Nicobar Islands,GST collected from State,SGST,24.49,amount in rupees crores,
2025-26,2026,February,Telangana,GST collected from State,SGST,1958.29,amount in rupees crores,
2025-26,2026,February,Andhra Pradesh,GST collected from State,SGST,1251.44,amount in rupees crores,
