fiscal_year,quarter,service_area,region,type_of_connection,value,unit,note
2018-19,Q1,Bihar,Urban,Narrowband,1.74,value in Millions,
2018-19,Q1,Bihar,Rural,Broadband,11.71,value in Millions,
2018-19,Q1,Bihar,Urban,Broadband,11.01,value in Millions,
2018-19,Q1,Bihar,Rural,Total,16.56,value in Millions,
2018-19,Q1,Bihar,Urban,Total,12.75,value in Millions,
2018-19,Q1,Assam,Rural,Narrowband,0.97,value in Millions,
2018-19,Q1,Assam,Urban,Narrowband,0.76,value in Millions,
2018-19,Q1,Assam,Rural,Broadband,3.63,value in Millions,
2018-19,Q1,Assam,Urban,Broadband,4.19,value in Millions,
2018-19,Q1,Assam,Rural,Total,4.6,value in Millions,
2018-19,Q1,Assam,Urban,Total,4.95,value in Millions,
2018-19,Q1,Andhra Pradesh,Rural,Narrowband,2.37,value in Millions,
2018-19,Q1,Andhra Pradesh,Urban,Narrowband,2.65,value in Millions,
2018-19,Q1,Andhra Pradesh,Rural,Broadband,13.62,value in Millions,
2018-19,Q1,Andhra Pradesh,Urban,Broadband,21.09,value in Millions,
2018-19,Q1,Andhra Pradesh,Rural,Total,15.99,value in Millions,
2018-19,Q1,Andhra Pradesh,Urban,Total,23.74,value in Millions,
2017-18,Q4,West Bengal,Rural,Narrowband,2.49,value in Millions,
2017-18,Q4,West Bengal,Urban,Narrowband,1.1,value in Millions,
2017-18,Q4,West Bengal,Rural,Broadband,6.65,value in Millions,
2017-18,Q4,West Bengal,Urban,Broadband,9.07,value in Millions,
2017-18,Q4,West Bengal,Rural,Total,9.14,value in Millions,
2017-18,Q4,West Bengal,Urban,Total,10.17,value in Millions,
2017-18,Q4,Uttar Pradesh West,Rural,Narrowband,2.32,value in Millions,
2017-18,Q4,Uttar Pradesh West,Urban,Narrowband,1.89,value in Millions,
2017-18,Q4,Uttar Pradesh West,Rural,Broadband,4.71,value in Millions,
2017-18,Q4,Uttar Pradesh West,Urban,Broadband,14.86,value in Millions,
2017-18,Q4,Uttar Pradesh West,Rural,Total,7.03,value in Millions,
2017-18,Q4,Uttar Pradesh West,Urban,Total,16.75,value in Millions,
2017-18,Q4,Uttar Pradesh East,Rural,Narrowband,5.43,value in Millions,
2017-18,Q4,Uttar Pradesh East,Urban,Narrowband,3.11,value in Millions,
2017-18,Q4,Uttar Pradesh East,Rural,Broadband,9.03,value in Millions,
2017-18,Q4,Uttar Pradesh East,Urban,Broadband,17.18,value in Millions,
2017-18,Q4,Uttar Pradesh East,Rural,Total,14.46,value in Millions,
2017-18,Q4,Uttar Pradesh East,Urban,Total,20.29,value in Millions,
2017-18,Q4,Total,Rural,Narrowband,39.3,value in Millions,
2017-18,Q4,Total,Urban,Narrowband,42.05,value in Millions,
2017-18,Q4,Total,Rural,Broadband,106.52,value in Millions,
2017-18,Q4,Total,Urban,Broadband,306.08,value in Millions,
2017-18,Q4,Total,Rural,Total,145.83,value in Millions,
2017-18,Q4,Total,Urban,Total,348.13,value in Millions,
2017-18,Q4,Tamil Nadu,Rural,Narrowband,1.94,value in Millions,
2017-18,Q4,Tamil Nadu,Urban,Narrowband,4.21,value in Millions,
2017-18,Q4,Tamil Nadu,Rural,Broadband,7.37,value in Millions,
2017-18,Q4,Tamil Nadu,Urban,Broadband,26.04,value in Millions,
2017-18,Q4,Tamil Nadu,Rural,Total,9.31,value in Millions,
2017-18,Q4,Tamil Nadu,Urban,Total,30.25,value in Millions,
2017-18,Q4,Rajasthan,Rural,Narrowband,2.86,value in Millions,
2017-18,Q4,Rajasthan,Urban,Narrowband,2.53,value in Millions,
2017-18,Q4,Rajasthan,Rural,Broadband,6.61,value in Millions,
2017-18,Q4,Rajasthan,Urban,Broadband,14.46,value in Millions,
2017-18,Q4,Rajasthan,Rural,Total,9.47,value in Millions,
2017-18,Q4,Rajasthan,Urban,Total,16.99,value in Millions,
2017-18,Q4,Punjab,Rural,Narrowband,1.04,value in Millions,
2017-18,Q4,Punjab,Urban,Narrowband,1.2,value in Millions,
2017-18,Q4,Punjab,Rural,Broadband,3.54,value in Millions,
2017-18,Q4,Punjab,Urban,Broadband,12.85,value in Millions,
2017-18,Q4,Punjab,Rural,Total,4.58,value in Millions,
2017-18,Q4,Punjab,Urban,Total,14.05,value in Millions,
2017-18,Q4,Odisha,Rural,Narrowband,1.93,value in Millions,
2017-18,Q4,Odisha,Urban,Narrowband,1.13,value in Millions,
2017-18,Q4,Odisha,Rural,Broadband,3.73,value in Millions,
2017-18,Q4,Odisha,Urban,Broadband,5.38,value in Millions,
2017-18,Q4,Odisha,Rural,Total,5.67,value in Millions,
2017-18,Q4,Odisha,Urban,Total,6.51,value in Millions,
2017-18,Q4,North East,Rural,Narrowband,0.85,value in Millions,
2017-18,Q4,North East,Urban,Narrowband,0.53,value in Millions,
2017-18,Q4,North East,Rural,Broadband,1.53,value in Millions,
2017-18,Q4,North East,Urban,Broadband,3.03,value in Millions,
2017-18,Q4,North East,Rural,Total,2.38,value in Millions,
2017-18,Q4,North East,Urban,Total,3.56,value in Millions,
2017-18,Q4,Mumbai,Rural,Narrowband,0.12,value in Millions,
2017-18,Q4,Mumbai,Urban,Narrowband,2.66,value in Millions,
2017-18,Q4,Mumbai,Rural,Broadband,0.63,value in Millions,
2017-18,Q4,Mumbai,Urban,Broadband,19.07,value in Millions,
2017-18,Q4,Mumbai,Rural,Total,0.75,value in Millions,
2017-18,Q4,Mumbai,Urban,Total,21.72,value in Millions,
2017-18,Q4,Maharashtra,Rural,Narrowband,2.16,value in Millions,
2017-18,Q4,Maharashtra,Urban,Narrowband,2.6,value in Millions,
2017-18,Q4,Maharashtra,Rural,Broadband,10.63,value in Millions,
2017-18,Q4,Maharashtra,Urban,Broadband,24.12,value in Millions,
2017-18,Q4,Maharashtra,Rural,Total,12.79,value in Millions,
2017-18,Q4,Maharashtra,Urban,Total,26.72,value in Millions,
2017-18,Q4,Madhya Pradesh,Rural,Narrowband,2.37,value in Millions,
2017-18,Q4,Madhya Pradesh,Urban,Narrowband,2.49,value in Millions,
2017-18,Q4,Madhya Pradesh,Rural,Broadband,4.57,value in Millions,
2017-18,Q4,Madhya Pradesh,Urban,Broadband,16.46,value in Millions,
2017-18,Q4,Madhya Pradesh,Rural,Total,6.94,value in Millions,
2017-18,Q4,Madhya Pradesh,Urban,Total,18.95,value in Millions,
2017-18,Q4,Kolkata,Rural,Narrowband,0.13,value in Millions,
2017-18,Q4,Kolkata,Urban,Narrowband,1.81,value in Millions,
2017-18,Q4,Kolkata,Rural,Broadband,0.88,value in Millions,
2017-18,Q4,Kolkata,Urban,Broadband,10.54,value in Millions,
2017-18,Q4,Kolkata,Rural,Total,1.0,value in Millions,
2017-18,Q4,Kolkata,Urban,Total,12.35,value in Millions,
2017-18,Q4,Kerala,Rural,Narrowband,0.9,value in Millions,
2017-18,Q4,Kerala,Urban,Narrowband,1.16,value in Millions,
2017-18,Q4,Kerala,Rural,Broadband,6.6,value in Millions,
2017-18,Q4,Kerala,Urban,Broadband,11.15,value in Millions,
2017-18,Q4,Kerala,Rural,Total,7.49,value in Millions,
2017-18,Q4,Kerala,Urban,Total,12.31,value in Millions,
2017-18,Q4,Karnataka,Rural,Narrowband,1.79,value in Millions,
2017-18,Q4,Karnataka,Urban,Narrowband,2.46,value in Millions,
2017-18,Q4,Karnataka,Rural,Broadband,4.9,value in Millions,
2017-18,Q4,Karnataka,Urban,Broadband,22.99,value in Millions,
2017-18,Q4,Karnataka,Rural,Total,6.69,value in Millions,
2017-18,Q4,Karnataka,Urban,Total,25.45,value in Millions,
2017-18,Q4,Jammu and Kashmir,Rural,Narrowband,0.78,value in Millions,
2017-18,Q4,Jammu and Kashmir,Urban,Narrowband,0.48,value in Millions,
2017-18,Q4,Jammu and Kashmir,Rural,Broadband,1.13,value in Millions,
2017-18,Q4,Jammu and Kashmir,Urban,Broadband,3.41,value in Millions,
2017-18,Q4,Jammu and Kashmir,Rural,Total,1.91,value in Millions,
2017-18,Q4,Jammu and Kashmir,Urban,Total,3.89,value in Millions,
2017-18,Q4,Himachal Pradesh,Rural,Narrowband,0.42,value in Millions,
2017-18,Q4,Himachal Pradesh,Urban,Narrowband,0.26,value in Millions,
2017-18,Q4,Himachal Pradesh,Rural,Broadband,1.62,value in Millions,
2017-18,Q4,Himachal Pradesh,Urban,Broadband,4.64,value in Millions,
2017-18,Q4,Himachal Pradesh,Rural,Total,2.04,value in Millions,
2017-18,Q4,Himachal Pradesh,Urban,Total,4.9,value in Millions,
2017-18,Q4,Haryana,Rural,Narrowband,0.55,value in Millions,
2017-18,Q4,Haryana,Urban,Narrowband,0.5,value in Millions,
2017-18,Q4,Haryana,Rural,Broadband,3.25,value in Millions,
2017-18,Q4,Haryana,Urban,Broadband,4.73,value in Millions,
2017-18,Q4,Haryana,Rural,Total,3.8,value in Millions,
2017-18,Q4,Haryana,Urban,Total,5.22,value in Millions,
2017-18,Q4,Gujarat,Rural,Narrowband,1.35,value in Millions,
2017-18,Q4,Gujarat,Urban,Narrowband,2.03,value in Millions,
2017-18,Q4,Gujarat,Rural,Broadband,6.92,value in Millions,
2017-18,Q4,Gujarat,Urban,Broadband,21.12,value in Millions,
2017-18,Q4,Gujarat,Rural,Total,8.27,value in Millions,
2017-18,Q4,Gujarat,Urban,Total,23.15,value in Millions,
2017-18,Q4,Delhi,Rural,Narrowband,0.24,value in Millions,
2017-18,Q4,Delhi,Urban,Narrowband,3.54,value in Millions,
2017-18,Q4,Delhi,Rural,Broadband,0.48,value in Millions,
2017-18,Q4,Delhi,Urban,Broadband,26.89,value in Millions,
2017-18,Q4,Delhi,Rural,Total,0.72,value in Millions,
2017-18,Q4,Delhi,Urban,Total,30.43,value in Millions,
2017-18,Q4,Bihar,Rural,Narrowband,5.14,value in Millions,
2017-18,Q4,Bihar,Urban,Narrowband,2.74,value in Millions,
2017-18,Q4,Bihar,Rural,Broadband,8.36,value in Millions,
2017-18,Q4,Bihar,Urban,Broadband,12.16,value in Millions,
2017-18,Q4,Bihar,Rural,Total,13.51,value in Millions,
2017-18,Q4,Bihar,Urban,Total,14.9,value in Millions,
2017-18,Q4,Assam,Rural,Narrowband,1.92,value in Millions,
2017-18,Q4,Assam,Urban,Narrowband,0.63,value in Millions,
2017-18,Q4,Assam,Rural,Broadband,3.12,value in Millions,
2017-18,Q4,Assam,Urban,Broadband,4.14,value in Millions,
2017-18,Q4,Assam,Rural,Total,5.04,value in Millions,
2017-18,Q4,Assam,Urban,Total,4.77,value in Millions,
2017-18,Q4,Andhra Pradesh,Rural,Narrowband,2.55,value in Millions,
2017-18,Q4,Andhra Pradesh,Urban,Narrowband,3.0,value in Millions,
2017-18,Q4,Andhra Pradesh,Rural,Broadband,10.28,value in Millions,
2017-18,Q4,Andhra Pradesh,Urban,Broadband,21.79,value in Millions,
2017-18,Q4,Andhra Pradesh,Rural,Total,12.83,value in Millions,
2017-18,Q4,Andhra Pradesh,Urban,Total,24.79,value in Millions,
2017-18,Q3,West Bengal,Rural,Narrowband,2.85,value in Millions,
2017-18,Q3,West Bengal,Urban,Narrowband,1.3,value in Millions,
2017-18,Q3,West Bengal,Rural,Broadband,5.74,value in Millions,
2017-18,Q3,West Bengal,Urban,Broadband,7.49,value in Millions,
2017-18,Q3,West Bengal,Rural,Total,8.59,value in Millions,
2017-18,Q3,West Bengal,Urban,Total,8.79,value in Millions,
2017-18,Q3,Uttar Pradesh West,Rural,Narrowband,2.43,value in Millions,
2017-18,Q3,Uttar Pradesh West,Urban,Narrowband,2.06,value in Millions,
2017-18,Q3,Uttar Pradesh West,Rural,Broadband,4.09,value in Millions,
2017-18,Q3,Uttar Pradesh West,Urban,Broadband,12.96,value in Millions,
2017-18,Q3,Uttar Pradesh West,Rural,Total,6.52,value in Millions,
2017-18,Q3,Uttar Pradesh West,Urban,Total,15.02,value in Millions,
2017-18,Q3,Uttar Pradesh East,Rural,Narrowband,5.15,value in Millions,
2017-18,Q3,Uttar Pradesh East,Urban,Narrowband,3.13,value in Millions,
2017-18,Q3,Uttar Pradesh East,Rural,Broadband,7.79,value in Millions,
2017-18,Q3,Uttar Pradesh East,Urban,Broadband,14.52,value in Millions,
2017-18,Q3,Uttar Pradesh East,Rural,Total,12.94,value in Millions,
2017-18,Q3,Uttar Pradesh East,Urban,Total,17.66,value in Millions,
2017-18,Q3,Total,Rural,Narrowband,38.99,value in Millions,
2017-18,Q3,Total,Urban,Narrowband,44.1,value in Millions,
2017-18,Q3,Total,Rural,Broadband,93.04,value in Millions,
2017-18,Q3,Total,Urban,Broadband,269.82,value in Millions,
2017-18,Q3,Total,Rural,Total,132.03,value in Millions,
2017-18,Q3,Total,Urban,Total,313.92,value in Millions,
2017-18,Q3,Tamil Nadu,Rural,Narrowband,1.86,value in Millions,
2017-18,Q3,Tamil Nadu,Urban,Narrowband,4.29,value in Millions,
2017-18,Q3,Tamil Nadu,Rural,Broadband,6.4,value in Millions,
2017-18,Q3,Tamil Nadu,Urban,Broadband,21.91,value in Millions,
2017-18,Q3,Tamil Nadu,Rural,Total,8.25,value in Millions,
2017-18,Q3,Tamil Nadu,Urban,Total,26.2,value in Millions,
2017-18,Q3,Rajasthan,Rural,Narrowband,2.75,value in Millions,
2017-18,Q3,Rajasthan,Urban,Narrowband,2.49,value in Millions,
2017-18,Q3,Rajasthan,Rural,Broadband,5.48,value in Millions,
2017-18,Q3,Rajasthan,Urban,Broadband,12.77,value in Millions,
2017-18,Q3,Rajasthan,Rural,Total,8.23,value in Millions,
2017-18,Q3,Rajasthan,Urban,Total,15.26,value in Millions,
2017-18,Q3,Punjab,Rural,Narrowband,1.19,value in Millions,
2017-18,Q3,Punjab,Urban,Narrowband,1.4,value in Millions,
2017-18,Q3,Punjab,Rural,Broadband,3.11,value in Millions,
2017-18,Q3,Punjab,Urban,Broadband,11.58,value in Millions,
2017-18,Q3,Punjab,Rural,Total,4.31,value in Millions,
2017-18,Q3,Punjab,Urban,Total,12.97,value in Millions,
2017-18,Q3,Odisha,Rural,Narrowband,1.56,value in Millions,
2017-18,Q3,Odisha,Urban,Narrowband,1.2,value in Millions,
2017-18,Q3,Odisha,Rural,Broadband,3.1,value in Millions,
2017-18,Q3,Odisha,Urban,Broadband,4.58,value in Millions,
2017-18,Q3,Odisha,Rural,Total,4.66,value in Millions,
2017-18,Q3,Odisha,Urban,Total,5.78,value in Millions,
2017-18,Q3,North East,Rural,Narrowband,0.84,value in Millions,
2017-18,Q3,North East,Urban,Narrowband,0.53,value in Millions,
2017-18,Q3,North East,Rural,Broadband,1.36,value in Millions,
2017-18,Q3,North East,Urban,Broadband,2.46,value in Millions,
2017-18,Q3,North East,Rural,Total,2.2,value in Millions,
2017-18,Q3,North East,Urban,Total,2.99,value in Millions,
2017-18,Q3,Mumbai,Rural,Narrowband,0.13,value in Millions,
2017-18,Q3,Mumbai,Urban,Narrowband,2.9,value in Millions,
2017-18,Q3,Mumbai,Rural,Broadband,0.53,value in Millions,
2017-18,Q3,Mumbai,Urban,Broadband,17.67,value in Millions,
2017-18,Q3,Mumbai,Rural,Total,0.65,value in Millions,
2017-18,Q3,Mumbai,Urban,Total,20.57,value in Millions,
2017-18,Q3,Maharashtra,Rural,Narrowband,2.42,value in Millions,
2017-18,Q3,Maharashtra,Urban,Narrowband,2.95,value in Millions,
2017-18,Q3,Maharashtra,Rural,Broadband,9.55,value in Millions,
2017-18,Q3,Maharashtra,Urban,Broadband,22.19,value in Millions,
2017-18,Q3,Maharashtra,Rural,Total,11.98,value in Millions,
2017-18,Q3,Maharashtra,Urban,Total,25.14,value in Millions,
2017-18,Q3,Madhya Pradesh,Rural,Narrowband,2.21,value in Millions,
2017-18,Q3,Madhya Pradesh,Urban,Narrowband,2.32,value in Millions,
2017-18,Q3,Madhya Pradesh,Rural,Broadband,4.03,value in Millions,
2017-18,Q3,Madhya Pradesh,Urban,Broadband,14.62,value in Millions,
2017-18,Q3,Madhya Pradesh,Rural,Total,6.24,value in Millions,
2017-18,Q3,Madhya Pradesh,Urban,Total,16.94,value in Millions,
2017-18,Q3,Kolkata,Rural,Narrowband,0.12,value in Millions,
2017-18,Q3,Kolkata,Urban,Narrowband,1.89,value in Millions,
2017-18,Q3,Kolkata,Rural,Broadband,0.78,value in Millions,
2017-18,Q3,Kolkata,Urban,Broadband,9.43,value in Millions,
2017-18,Q3,Kolkata,Rural,Total,0.9,value in Millions,
2017-18,Q3,Kolkata,Urban,Total,11.32,value in Millions,
2017-18,Q3,Kerala,Rural,Narrowband,0.95,value in Millions,
2017-18,Q3,Kerala,Urban,Narrowband,1.36,value in Millions,
2017-18,Q3,Kerala,Rural,Broadband,6.17,value in Millions,
2017-18,Q3,Kerala,Urban,Broadband,10.45,value in Millions,
2017-18,Q3,Kerala,Rural,Total,7.11,value in Millions,
2017-18,Q3,Kerala,Urban,Total,11.82,value in Millions,
2017-18,Q3,Karnataka,Rural,Narrowband,1.83,value in Millions,
2017-18,Q3,Karnataka,Urban,Narrowband,2.7,value in Millions,
2017-18,Q3,Karnataka,Rural,Broadband,4.59,value in Millions,
2017-18,Q3,Karnataka,Urban,Broadband,20.84,value in Millions,
2017-18,Q3,Karnataka,Rural,Total,6.42,value in Millions,
2017-18,Q3,Karnataka,Urban,Total,23.54,value in Millions,
2017-18,Q3,Jammu and Kashmir,Rural,Narrowband,0.76,value in Millions,
2017-18,Q3,Jammu and Kashmir,Urban,Narrowband,0.46,value in Millions,
2017-18,Q3,Jammu and Kashmir,Rural,Broadband,1.0,value in Millions,
2017-18,Q3,Jammu and Kashmir,Urban,Broadband,2.81,value in Millions,
2017-18,Q3,Jammu and Kashmir,Rural,Total,1.75,value in Millions,
2017-18,Q3,Jammu and Kashmir,Urban,Total,3.27,value in Millions,
2017-18,Q3,Himachal Pradesh,Rural,Narrowband,0.48,value in Millions,
2017-18,Q3,Himachal Pradesh,Urban,Narrowband,0.32,value in Millions,
2017-18,Q3,Himachal Pradesh,Rural,Broadband,1.53,value in Millions,
2017-18,Q3,Himachal Pradesh,Urban,Broadband,1.57,value in Millions,
2017-18,Q3,Himachal Pradesh,Rural,Total,2.01,value in Millions,
2017-18,Q3,Himachal Pradesh,Urban,Total,1.88,value in Millions,
2017-18,Q3,Haryana,Rural,Narrowband,0.78,value in Millions,
2017-18,Q3,Haryana,Urban,Narrowband,0.56,value in Millions,
2017-18,Q3,Haryana,Rural,Broadband,2.81,value in Millions,
2017-18,Q3,Haryana,Urban,Broadband,6.51,value in Millions,
2017-18,Q3,Haryana,Rural,Total,3.59,value in Millions,
2017-18,Q3,Haryana,Urban,Total,7.06,value in Millions,
2017-18,Q3,Gujarat,Rural,Narrowband,1.48,value in Millions,
2017-18,Q3,Gujarat,Urban,Narrowband,2.28,value in Millions,
2017-18,Q3,Gujarat,Rural,Broadband,6.25,value in Millions,
2017-18,Q3,Gujarat,Urban,Broadband,18.78,value in Millions,
2017-18,Q3,Gujarat,Rural,Total,7.73,value in Millions,
2017-18,Q3,Gujarat,Urban,Total,21.07,value in Millions,
2017-18,Q3,Delhi,Rural,Narrowband,0.24,value in Millions,
2017-18,Q3,Delhi,Urban,Narrowband,3.5,value in Millions,
2017-18,Q3,Delhi,Rural,Broadband,0.45,value in Millions,
2017-18,Q3,Delhi,Urban,Broadband,24.02,value in Millions,
2017-18,Q3,Delhi,Rural,Total,0.69,value in Millions,
2017-18,Q3,Delhi,Urban,Total,27.52,value in Millions,
2017-18,Q3,Bihar,Rural,Narrowband,4.29,value in Millions,
2017-18,Q3,Bihar,Urban,Narrowband,2.57,value in Millions,
2017-18,Q3,Bihar,Rural,Broadband,6.75,value in Millions,
2017-18,Q3,Bihar,Urban,Broadband,10.01,value in Millions,
2017-18,Q3,Bihar,Rural,Total,11.05,value in Millions,
2017-18,Q3,Bihar,Urban,Total,12.58,value in Millions,
2017-18,Q3,Assam,Rural,Narrowband,2.02,value in Millions,
2017-18,Q3,Assam,Urban,Narrowband,0.64,value in Millions,
2017-18,Q3,Assam,Rural,Broadband,2.51,value in Millions,
2017-18,Q3,Assam,Urban,Broadband,3.29,value in Millions,
2017-18,Q3,Assam,Rural,Total,4.53,value in Millions,
2017-18,Q3,Assam,Urban,Total,3.94,value in Millions,
2017-18,Q3,Andhra Pradesh,Rural,Narrowband,2.66,value in Millions,
2017-18,Q3,Andhra Pradesh,Urban,Narrowband,3.24,value in Millions,
2017-18,Q3,Andhra Pradesh,Rural,Broadband,9.02,value in Millions,
2017-18,Q3,Andhra Pradesh,Urban,Broadband,19.38,value in Millions,
2017-18,Q3,Andhra Pradesh,Rural,Total,11.67,value in Millions,
2017-18,Q3,Andhra Pradesh,Urban,Total,22.62,value in Millions,
2017-18,Q2,West Bengal,Rural,Narrowband,3.73,value in Millions,
2017-18,Q2,West Bengal,Urban,Narrowband,1.27,value in Millions,
2017-18,Q2,West Bengal,Rural,Broadband,5.14,value in Millions,
2017-18,Q2,West Bengal,Urban,Broadband,6.69,value in Millions,
2017-18,Q2,West Bengal,Rural,Total,8.87,value in Millions,
2017-18,Q2,West Bengal,Urban,Total,7.96,value in Millions,
2017-18,Q2,Uttar Pradesh West,Rural,Narrowband,3.25,value in Millions,
2017-18,Q2,Uttar Pradesh West,Urban,Narrowband,2.86,value in Millions,
2017-18,Q2,Uttar Pradesh West,Rural,Broadband,3.34,value in Millions,
2017-18,Q2,Uttar Pradesh West,Urban,Broadband,12.03,value in Millions,
2017-18,Q2,Uttar Pradesh West,Rural,Total,6.59,value in Millions,
2017-18,Q2,Uttar Pradesh West,Urban,Total,14.89,value in Millions,
2017-18,Q2,Uttar Pradesh East,Rural,Narrowband,6.02,value in Millions,
2017-18,Q2,Uttar Pradesh East,Urban,Narrowband,3.91,value in Millions,
2017-18,Q2,Uttar Pradesh East,Rural,Broadband,6.69,value in Millions,
2017-18,Q2,Uttar Pradesh East,Urban,Broadband,11.84,value in Millions,
2017-18,Q2,Uttar Pradesh East,Rural,Total,12.71,value in Millions,
2017-18,Q2,Uttar Pradesh East,Urban,Total,15.75,value in Millions,
2017-18,Q2,Total,Rural,Narrowband,47.19,value in Millions,
2017-18,Q2,Total,Urban,Narrowband,57.16,value in Millions,
2017-18,Q2,Total,Rural,Broadband,82.22,value in Millions,
2017-18,Q2,Total,Urban,Broadband,242.67,value in Millions,
2017-18,Q2,Total,Rural,Total,129.41,value in Millions,
2017-18,Q2,Total,Urban,Total,299.83,value in Millions,
2017-18,Q2,Tamil Nadu,Rural,Narrowband,2.58,value in Millions,
2017-18,Q2,Tamil Nadu,Urban,Narrowband,5.68,value in Millions,
2017-18,Q2,Tamil Nadu,Rural,Broadband,5.99,value in Millions,
2017-18,Q2,Tamil Nadu,Urban,Broadband,20.22,value in Millions,
2017-18,Q2,Tamil Nadu,Rural,Total,8.57,value in Millions,
2017-18,Q2,Tamil Nadu,Urban,Total,25.9,value in Millions,
2017-18,Q2,Rajasthan,Rural,Narrowband,2.9,value in Millions,
2017-18,Q2,Rajasthan,Urban,Narrowband,3.26,value in Millions,
2017-18,Q2,Rajasthan,Rural,Broadband,4.9,value in Millions,
2017-18,Q2,Rajasthan,Urban,Broadband,10.61,value in Millions,
2017-18,Q2,Rajasthan,Rural,Total,7.81,value in Millions,
2017-18,Q2,Rajasthan,Urban,Total,13.87,value in Millions,
2017-18,Q2,Punjab,Rural,Narrowband,1.47,value in Millions,
2017-18,Q2,Punjab,Urban,Narrowband,2.07,value in Millions,
2017-18,Q2,Punjab,Rural,Broadband,2.69,value in Millions,
2017-18,Q2,Punjab,Urban,Broadband,10.3,value in Millions,
2017-18,Q2,Punjab,Rural,Total,4.16,value in Millions,
2017-18,Q2,Punjab,Urban,Total,12.37,value in Millions,
2017-18,Q2,Odisha,Rural,Narrowband,1.85,value in Millions,
2017-18,Q2,Odisha,Urban,Narrowband,1.39,value in Millions,
2017-18,Q2,Odisha,Rural,Broadband,2.66,value in Millions,
2017-18,Q2,Odisha,Urban,Broadband,3.95,value in Millions,
2017-18,Q2,Odisha,Rural,Total,4.51,value in Millions,
2017-18,Q2,Odisha,Urban,Total,5.34,value in Millions,
2017-18,Q2,North East,Rural,Narrowband,1.01,value in Millions,
2017-18,Q2,North East,Urban,Narrowband,0.62,value in Millions,
2017-18,Q2,North East,Rural,Broadband,1.29,value in Millions,
2017-18,Q2,North East,Urban,Broadband,3.31,value in Millions,
2017-18,Q2,North East,Rural,Total,2.29,value in Millions,
2017-18,Q2,North East,Urban,Total,3.93,value in Millions,
2017-18,Q2,Mumbai,Rural,Narrowband,0.13,value in Millions,
2017-18,Q2,Mumbai,Urban,Narrowband,3.58,value in Millions,
2017-18,Q2,Mumbai,Rural,Broadband,0.46,value in Millions,
2017-18,Q2,Mumbai,Urban,Broadband,15.31,value in Millions,
2017-18,Q2,Mumbai,Rural,Total,0.6,value in Millions,
2017-18,Q2,Mumbai,Urban,Total,18.89,value in Millions,
2017-18,Q2,Maharashtra,Rural,Narrowband,2.97,value in Millions,
2017-18,Q2,Maharashtra,Urban,Narrowband,4.13,value in Millions,
2017-18,Q2,Maharashtra,Rural,Broadband,8.34,value in Millions,
2017-18,Q2,Maharashtra,Urban,Broadband,19.56,value in Millions,
2017-18,Q2,Maharashtra,Rural,Total,11.31,value in Millions,
2017-18,Q2,Maharashtra,Urban,Total,23.69,value in Millions,
2017-18,Q2,Madhya Pradesh,Rural,Narrowband,2.3,value in Millions,
2017-18,Q2,Madhya Pradesh,Urban,Narrowband,3.08,value in Millions,
2017-18,Q2,Madhya Pradesh,Rural,Broadband,3.48,value in Millions,
2017-18,Q2,Madhya Pradesh,Urban,Broadband,12.98,value in Millions,
2017-18,Q2,Madhya Pradesh,Rural,Total,5.78,value in Millions,
2017-18,Q2,Madhya Pradesh,Urban,Total,16.06,value in Millions,
2017-18,Q2,Kolkata,Rural,Narrowband,0.6,value in Millions,
2017-18,Q2,Kolkata,Urban,Narrowband,2.48,value in Millions,
2017-18,Q2,Kolkata,Rural,Broadband,0.71,value in Millions,
2017-18,Q2,Kolkata,Urban,Broadband,8.44,value in Millions,
2017-18,Q2,Kolkata,Rural,Total,1.31,value in Millions,
2017-18,Q2,Kolkata,Urban,Total,10.93,value in Millions,
2017-18,Q2,Kerala,Rural,Narrowband,1.26,value in Millions,
2017-18,Q2,Kerala,Urban,Narrowband,1.85,value in Millions,
2017-18,Q2,Kerala,Rural,Broadband,5.72,value in Millions,
2017-18,Q2,Kerala,Urban,Broadband,9.84,value in Millions,
2017-18,Q2,Kerala,Rural,Total,6.98,value in Millions,
2017-18,Q2,Kerala,Urban,Total,11.69,value in Millions,
2017-18,Q2,Karnataka,Rural,Narrowband,2.01,value in Millions,
2017-18,Q2,Karnataka,Urban,Narrowband,3.51,value in Millions,
2017-18,Q2,Karnataka,Rural,Broadband,4.33,value in Millions,
2017-18,Q2,Karnataka,Urban,Broadband,19.25,value in Millions,
2017-18,Q2,Karnataka,Rural,Total,6.35,value in Millions,
2017-18,Q2,Karnataka,Urban,Total,22.76,value in Millions,
2017-18,Q2,Jammu and Kashmir,Rural,Narrowband,0.85,value in Millions,
2017-18,Q2,Jammu and Kashmir,Urban,Narrowband,0.6,value in Millions,
2017-18,Q2,Jammu and Kashmir,Rural,Broadband,0.92,value in Millions,
2017-18,Q2,Jammu and Kashmir,Urban,Broadband,2.41,value in Millions,
2017-18,Q2,Jammu and Kashmir,Rural,Total,1.77,value in Millions,
2017-18,Q2,Jammu and Kashmir,Urban,Total,3.01,value in Millions,
2017-18,Q2,Himachal Pradesh,Rural,Narrowband,0.58,value in Millions,
2017-18,Q2,Himachal Pradesh,Urban,Narrowband,0.44,value in Millions,
2017-18,Q2,Himachal Pradesh,Rural,Broadband,1.42,value in Millions,
2017-18,Q2,Himachal Pradesh,Urban,Broadband,1.69,value in Millions,
